Label	Country	Outcome	Year
TUR-V	TUR	Violation	2010
RUS-V	RUS	Violation	2011
GBR-NV	GBR	No Violation	2010
GBR-NV	GBR	No Violation	2016
TUR-V	TUR	Violation	2010
RUS-V	RUS	Violation	2011
TUR-V	TUR	Violation	2011
GBR-V	GBR	Violation	2004
RUS-NV	RUS	No Violation	2018
RUS-V	RUS	Violation	2011
GBR-V	GBR	Violation	2002
TUR-V	TUR	Violation	2012
GBR-V	GBR	Violation	2001
GBR-V	GBR	Violation	2017
TUR-V	TUR	Violation	2007
GBR-V	GBR	Violation	2006
GBR-V	GBR	Violation	2016
RUS-V	RUS	Violation	2011
TUR-V	TUR	Violation	2011
GBR-V	GBR	Violation	2008
RUS-V	RUS	Violation	2019
GBR-NV	GBR	No Violation	2001
GBR-V	GBR	Violation	2022
RUS-NV	RUS	No Violation	2011
RUS-V	RUS	Violation	2011
TUR-V	TUR	Violation	2011
RUS-NV	RUS	No Violation	2017
TUR-V	TUR	Violation	2011
RUS-NV	RUS	No Violation	2011
GBR-V	GBR	Violation	2016
GBR-NV	GBR	No Violation	2002
TUR-V	TUR	Violation	2011
GBR-NV	GBR	No Violation	2012
RUS-V	RUS	Violation	2010
RUS-V	RUS	Violation	2010
RUS-NV	RUS	No Violation	2013
TUR-NV	TUR	No Violation	2025
GBR-NV	GBR	No Violation	2011
RUS-V	RUS	Violation	2011
GBR-NV	GBR	No Violation	2010
GBR-NV	GBR	No Violation	1985
TUR-V	TUR	Violation	2010
RUS-V	RUS	Violation	2012
GBR-NV	GBR	No Violation	1996
RUS-V	RUS	Violation	2011
GBR-V	GBR	Violation	2000
GBR-V	GBR	Violation	2003
GBR-NV	GBR	No Violation	2001
TUR-V	TUR	Violation	2011
GBR-V	GBR	Violation	2005
RUS-V	RUS	Violation	2011
RUS-NV	RUS	No Violation	2016
GBR-V	GBR	Violation	2006
RUS-V	RUS	Violation	2011
RUS-V	RUS	Violation	2010
TUR-V	TUR	Violation	2012
GBR-NV	GBR	No Violation	1987
RUS-V	RUS	Violation	2021
TUR-V	TUR	Violation	2006
RUS-V	RUS	Violation	2011
RUS-V	RUS	Violation	2011
GBR-V	GBR	Violation	1984
TUR-NV	TUR	No Violation	2026
GBR-V	GBR	Violation	1999
GBR-V	GBR	Violation	1999
GBR-V	GBR	Violation	2000
TUR-V	TUR	Violation	2012
GBR-NV	GBR	No Violation	1998
GBR-V	GBR	Violation	2003
RUS-V	RUS	Violation	2011
TUR-V	TUR	Violation	2010
RUS-V	RUS	Violation	2011
RUS-V	RUS	Violation	2011
RUS-NV	RUS	No Violation	2011
TUR-NV	TUR	No Violation	2006
GBR-NV	GBR	No Violation	2001
TUR-V	TUR	Violation	2010
TUR-V	TUR	Violation	2025
GBR-V	GBR	Violation	1998
RUS-V	RUS	Violation	2013
GBR-V	GBR	Violation	1999
GBR-V	GBR	Violation	2011
RUS-V	RUS	Violation	2011
GBR-V	GBR	Violation	2011
GBR-V	GBR	Violation	2004
RUS-V	RUS	Violation	2019
RUS-V	RUS	Violation	2011
GBR-V	GBR	Violation	2000
RUS-V	RUS	Violation	2013
RUS-V	RUS	Violation	2012
GBR-V	GBR	Violation	2004
RUS-V	RUS	Violation	2019
TUR-V	TUR	Violation	2008
TUR-V	TUR	Violation	2012
RUS-NV	RUS	No Violation	2015
GBR-V	GBR	Violation	2003
GBR-V	GBR	Violation	2009
TUR-NV	TUR	No Violation	2006
TUR-V	TUR	Violation	2012
GBR-NV	GBR	No Violation	2001
RUS-V	RUS	Violation	2017
TUR-V	TUR	Violation	2013
TUR-V	TUR	Violation	2005
TUR-NV	TUR	No Violation	2009
GBR-V	GBR	Violation	2003
GBR-V	GBR	Violation	1983
RUS-NV	RUS	No Violation	2013
RUS-V	RUS	Violation	2019
GBR-NV	GBR	No Violation	2002
