Label	Outcome	Year
GBR-NV	No Violation	2010
GBR-NV	No Violation	2016
GBR-V	Violation	2004
GBR-V	Violation	2002
GBR-V	Violation	2001
GBR-V	Violation	2017
GBR-V	Violation	2006
GBR-V	Violation	2016
GBR-V	Violation	2008
GBR-NV	No Violation	2001
GBR-V	Violation	2022
GBR-V	Violation	2016
GBR-NV	No Violation	2002
GBR-NV	No Violation	2012
GBR-NV	No Violation	2011
GBR-NV	No Violation	2010
GBR-NV	No Violation	1985
GBR-NV	No Violation	1996
GBR-V	Violation	2000
GBR-V	Violation	2003
GBR-NV	No Violation	2001
GBR-V	Violation	2005
GBR-V	Violation	2006
GBR-NV	No Violation	1987
GBR-V	Violation	1984
GBR-V	Violation	1999
GBR-V	Violation	1999
GBR-V	Violation	2000
GBR-NV	No Violation	1998
GBR-V	Violation	2003
GBR-NV	No Violation	2001
GBR-V	Violation	1998
GBR-V	Violation	1999
GBR-V	Violation	2011
GBR-V	Violation	2011
GBR-V	Violation	2004
GBR-V	Violation	2000
GBR-V	Violation	2004
GBR-V	Violation	2003
GBR-V	Violation	2009
GBR-NV	No Violation	2001
GBR-V	Violation	2003
GBR-V	Violation	1983
GBR-NV	No Violation	2002
