Label	Outcome	Year
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-NV	No Violation	2018
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-V	Violation	2019
RUS-NV	No Violation	2011
RUS-V	Violation	2011
RUS-NV	No Violation	2017
RUS-NV	No Violation	2011
RUS-V	Violation	2010
RUS-V	Violation	2010
RUS-NV	No Violation	2013
RUS-V	Violation	2011
RUS-V	Violation	2012
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-NV	No Violation	2016
RUS-V	Violation	2011
RUS-V	Violation	2010
RUS-V	Violation	2021
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-V	Violation	2011
RUS-NV	No Violation	2011
RUS-V	Violation	2013
RUS-V	Violation	2011
RUS-V	Violation	2019
RUS-V	Violation	2011
RUS-V	Violation	2013
RUS-V	Violation	2012
RUS-V	Violation	2019
RUS-NV	No Violation	2015
RUS-V	Violation	2017
RUS-NV	No Violation	2013
RUS-V	Violation	2019
