Label	Outcome	Year
TUR-V	Violation	2010
TUR-V	Violation	2010
TUR-V	Violation	2011
TUR-V	Violation	2012
TUR-V	Violation	2007
TUR-V	Violation	2011
TUR-V	Violation	2011
TUR-V	Violation	2011
TUR-V	Violation	2011
TUR-NV	No Violation	2025
TUR-V	Violation	2010
TUR-V	Violation	2011
TUR-V	Violation	2012
TUR-V	Violation	2006
TUR-NV	No Violation	2026
TUR-V	Violation	2012
TUR-V	Violation	2010
TUR-NV	No Violation	2006
TUR-V	Violation	2010
TUR-V	Violation	2025
TUR-V	Violation	2008
TUR-V	Violation	2012
TUR-NV	No Violation	2006
TUR-V	Violation	2012
TUR-V	Violation	2013
TUR-V	Violation	2005
TUR-NV	No Violation	2009
